file,sfreq,n_ch,classes,counts,kept,dropped,drop_rate
epochs_S001R03-epo.fif,160.0,64,,,0,15,1.0
epochs_S001R04-epo.fif,160.0,64,,,0,15,1.0
epochs_S001R05-epo.fif,160.0,64,,,0,15,1.0
epochs_S001R06-epo.fif,160.0,64,both_fists/both_feet,2:1,1,14,0.9333333333333333
epochs_S001R07-epo.fif,160.0,64,left/right,1:1,1,14,0.9333333333333333
epochs_S001R08-epo.fif,160.0,64,left/right,2:2,2,13,0.8666666666666667
epochs_S001R09-epo.fif,160.0,64,both_fists/both_feet,2:1,1,14,0.9333333333333333
epochs_S001R10-epo.fif,160.0,64,both_fists/both_feet,1:1,1,14,0.9333333333333333
epochs_S001R11-epo.fif,160.0,64,,,0,15,1.0
epochs_S001R12-epo.fif,160.0,64,left/right,1:1;2:1,2,13,0.8666666666666667
epochs_S001R13-epo.fif,160.0,64,,,0,15,1.0
epochs_S001R14-epo.fif,160.0,64,both_fists/both_feet,2:1,1,14,0.9333333333333333
epochs_S002R03-epo.fif,160.0,64,left/right,1:2;2:1,3,12,0.8
epochs_S002R04-epo.fif,160.0,64,left/right,1:3;2:4,7,8,0.5333333333333333
epochs_S002R05-epo.fif,160.0,64,both_fists/both_feet,1:5;2:1,6,9,0.6
epochs_S002R06-epo.fif,160.0,64,both_fists/both_feet,1:3;2:4,7,8,0.5333333333333333
epochs_S002R07-epo.fif,160.0,64,left/right,1:4;2:5,9,6,0.4
epochs_S002R08-epo.fif,160.0,64,left/right,1:3;2:6,9,6,0.4
epochs_S002R09-epo.fif,160.0,64,both_fists/both_feet,1:3;2:1,4,11,0.7333333333333333
epochs_S002R10-epo.fif,160.0,64,both_fists/both_feet,1:5;2:5,10,5,0.3333333333333333
epochs_S002R11-epo.fif,160.0,64,left/right,1:5;2:3,8,7,0.4666666666666667
epochs_S002R12-epo.fif,160.0,64,left/right,1:7;2:5,12,3,0.2
epochs_S002R13-epo.fif,160.0,64,both_fists/both_feet,1:2,2,13,0.8666666666666667
epochs_S002R14-epo.fif,160.0,64,both_fists/both_feet,1:7;2:5,12,3,0.2
epochs_S003R03-epo.fif,160.0,64,,,0,15,1.0
epochs_S003R04-epo.fif,160.0,64,,,0,15,1.0
epochs_S003R05-epo.fif,160.0,64,,,0,15,1.0
epochs_S003R06-epo.fif,160.0,64,,,0,15,1.0
epochs_S003R07-epo.fif,160.0,64,,,0,15,1.0
epochs_S003R08-epo.fif,160.0,64,,,0,15,1.0
epochs_S003R09-epo.fif,160.0,64,,,0,15,1.0
epochs_S003R10-epo.fif,160.0,64,,,0,15,1.0
epochs_S003R11-epo.fif,160.0,64,,,0,15,1.0
epochs_S003R12-epo.fif,160.0,64,left/right,1:2,2,13,0.8666666666666667
epochs_S003R13-epo.fif,160.0,64,,,0,15,1.0
epochs_S003R14-epo.fif,160.0,64,,,0,15,1.0
epochs_S004R03-epo.fif,160.0,64,,,0,15,1.0
epochs_S004R04-epo.fif,160.0,64,,,0,15,1.0
epochs_S004R05-epo.fif,160.0,64,,,0,15,1.0
epochs_S004R06-epo.fif,160.0,64,both_fists/both_feet,2:1,1,14,0.9333333333333333
epochs_S004R07-epo.fif,160.0,64,,,0,15,1.0
epochs_S004R08-epo.fif,160.0,64,,,0,15,1.0
epochs_S004R09-epo.fif,160.0,64,both_fists/both_feet,1:3;2:5,8,7,0.4666666666666667
